No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
178;Telur Ayam;07/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25500
179;Telur Ayam;07/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24500
180;Telur Ayam;07/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24500
181;Telur Ayam;08/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
182;Telur Ayam;08/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26500
183;Telur Ayam;08/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
184;Telur Ayam;08/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
185;Telur Ayam;08/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
186;Telur Ayam;08/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
187;Telur Ayam;08/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24000
188;Telur Ayam;08/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24250
189;Telur Ayam;08/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26500
190;Telur Ayam;08/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27000
191;Telur Ayam;08/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
192;Telur Ayam;08/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
193;Telur Ayam;08/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
194;Telur Ayam;08/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;25500
195;Telur Ayam;08/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
196;Telur Ayam;08/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25500
197;Telur Ayam;08/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24500
198;Telur Ayam;08/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24000
199;Telur Ayam;09/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
200;Telur Ayam;09/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26000
201;Telur Ayam;09/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
202;Telur Ayam;09/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
203;Telur Ayam;09/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
204;Telur Ayam;09/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
205;Telur Ayam;09/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24250
206;Telur Ayam;09/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24250
207;Telur Ayam;09/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26000
208;Telur Ayam;09/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
209;Telur Ayam;09/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
210;Telur Ayam;09/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
211;Telur Ayam;09/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
212;Telur Ayam;09/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
213;Telur Ayam;09/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
214;Telur Ayam;09/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25500
215;Telur Ayam;09/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24500
216;Telur Ayam;09/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24000
217;Telur Ayam;10/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
218;Telur Ayam;10/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26000
219;Telur Ayam;10/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
220;Telur Ayam;10/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
221;Telur Ayam;10/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
222;Telur Ayam;10/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
223;Telur Ayam;10/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24250
224;Telur Ayam;10/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24250
225;Telur Ayam;10/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26000
226;Telur Ayam;10/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
227;Telur Ayam;10/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
228;Telur Ayam;10/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
229;Telur Ayam;10/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
230;Telur Ayam;10/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
231;Telur Ayam;10/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
232;Telur Ayam;10/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25250
233;Telur Ayam;10/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
234;Telur Ayam;10/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24750
235;Telur Ayam;11/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
