No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
10836;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;80000
10837;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;55000
10838;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;52500
10839;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Depok;Pasar Agung;55000
10840;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;47500
10841;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;65000
10842;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10843;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;55000
10844;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;57500
10845;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;50000
10846;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;60000
10847;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;69000
10848;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10849;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;50000
10850;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;46000
10851;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
10852;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
10853;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;60000
10854;Cabai Rawit Merah;22/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;70000
10855;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;52500
10856;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;52500
10857;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Depok;Pasar Agung;52500
10858;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;40000
10859;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;65000
10860;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10861;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;55000
10862;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;52500
10863;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;50000
10864;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;58000
10865;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;65000
10866;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10867;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;45000
10868;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;45000
10869;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
